school,school_id,district,district_id,percent_not_proficient_math,percent_chronically_absent
Jackson Elementary School,1285,Hillsboro SD 1J,2239,0.414,NA
Jacksonville Elementary School,412,Medford SD 549C,2048,0.434,0.113
James John Elementary School,862,Portland SD 1J,2180,0.581,0.233
James Templeton Elementary School,1139,Tigard-Tualatin SD 23J,2242,0.516,0.07400000000000001
Jefferson Elementary School,35,Corvallis SD 509J,1901,0.35400000000000004,0.10400000000000001
Jefferson Elementary School,413,Medford SD 549C,2048,0.603,0.16899999999999998
Jefferson Elementary School,721,Jefferson SD 14J,2140,0.721,0.11699999999999999
Jewett Elementary School,383,Central Point SD 6,2042,0.745,0.114
Joan Austin Elementary School,4342,Newberg SD 29J,2254,0.53,0.078
John McLoughlin Elementary School,114,Oregon City SD 62,1928,0.442,0.11800000000000001
John Muir Elementary School,4476,Ashland SD 5,2041,0.818,0.091
John Tuck Elementary School,258,Redmond SD 2J,1977,0.733,0.174
John Wetten Elementary School,136,Gladstone SD 115,1931,0.373,0.141
Joseph Charter School,1087,Joseph SD 6,2219,0.29400000000000004,0.055999999999999994
Joseph Conger Elementary School,459,Klamath Falls City Schools,2056,0.6829999999999999,0.091
Joseph Gale Elementary School,1133,Forest Grove SD 15,2241,0.6859999999999999,0.18600000000000003
Juniper Elementary School,246,Bend-LaPine Administrative SD 1,1976,0.385,0.066
Kairos PDX,5218,Portland SD 1J,2180,0.92,0.33299999999999996
Kalapuya Elementary School,4858,Salem-Keizer SD 24J,2142,0.27899999999999997,0.11199999999999999
Kalmiopsis Elementary School,236,Brookings-Harbor SD 17C,1974,0.637,0.18
Keizer Elementary School,747,Salem-Keizer SD 24J,2142,0.767,0.126
Kelly Creek Elementary School,1313,Gresham-Barlow SD 10J,2183,0.413,0.195
Kelly Elementary School,864,Portland SD 1J,2180,0.767,0.2
Kelso Elementary School,99,Oregon Trail SD 46,1926,0.40399999999999997,0.12
Kennedy Elementary School,416,Medford SD 549C,2048,0.6579999999999999,0.205
Kennedy Elementary School,746,Salem-Keizer SD 24J,2142,0.797,0.156
Keno Elementary School,474,Klamath County SD,2057,0.528,0.19399999999999998
Kids Unlimited Academy,5205,Medford SD 549C,2048,0.54,0.14300000000000002
Kings Valley Charter School,3440,Philomath SD 17J,1900,0.8230000000000001,0.294
